Title,
Revision,
Date,
Generated,29/04/2017 2:48:32
Company,
Comment 1,
Comment 2,
Comment 3,
Comment 4,
Total Parts,41
Total Unique Parts,24



Ref,Qty,Value,Footprint,Descripción,Fabricante,MAXIM,MAXIM INTEGRATED,Proveedor #1,Proveedor #2,Referencia Fabricante,Referencia Proveedor #1,Referencia Proveedor #2,
C1 C7 C9 C11 ,4,100nF,Capacitors_SMD:C_0603_HandSoldering,Condensador de Cerámica Multicapa  Terminación Flexible (FT-CAP)  0603 [Métrica 1608]  0.1 µF  50 V,KEMET, , ,Mouser,Farnell,80-C0603X104K5R,C0603X104K5RACTU,1414028
C2 C4 ,2,18pF,Capacitors_SMD:C_0603_HandSoldering,Multilayer Ceramic Capacitors MLCC - SMD/SMT 250volts 18pF 1%,KEMET, , ,Mouser,Farnell,CBR06C180FAGAC,80-CBR06C180FAGAC,-
C3 C5 ,2,1uF,Capacitors_SMD:C_0603_HandSoldering,TDK  C0603X5R0J105M030BC  Condensador de Cerámica Multicapa  0201 [Métrica 0603]  1 µF  6.3 V  ± 20%  X5R  C Series,TDK, , ,Mouser,Farnell,C0603X5R0J105M030BC,810-C0603X5R0J105M,2524945
C6 C8 C10 C12 C13 ,5,10nF,Capacitors_SMD:C_0603_HandSoldering,Ceramic Capacitors MLCC - SMD/SMT 50volts 10000pF 1% U2J,KEMET, , ,Mouser,Farnell,C0603X103F5JACTU,80-C0603X103F5J,2579110
D1 ,1,LED,LEDs:LED_1206, ,VISHAY, , ,Mouser,Farnell,VLMTG1300-GS08,VLMTG1300-GS08,2251490
D2 ,1,LED,LEDs:LED_1206, ,VISHAY, , ,Mouser,Farnell,VLMS1300-GS08,78-VLMS1300-GS08,2251484
D3 D5 ,2,ZENER,Diodes_SMD:D_SOD-123,Diodo Zener Simple  Regulador de Tensión  2.7 V  500 mW  SOD-123  5 %  2 Pines  150 °C,ON SEMICONDUCTOR, , ,Mouser,Farnell,MMSZ5223BT1G,863-MMSZ5223BT1G,2463576
D4 ,1,ZENER,Diodes_SMD:D_SOD-323_HandSoldering,Diodo Zener Simple  3.3 V  500 mW  SOD-123  6 %  2 Pines  150 °C,DIODES INCORPORATED, , ,Mouser,Farnell,BZT52C3V3S-7-F,621-BZT52C3V3S-F,1843704
P1 P3 P4 ,3,CONN_01X05,Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_5pol,Conector de Placa a Placa  2.54 mm  5 Contactos  Receptáculo  960 Series  Agujero Pasante  1 Filas,3M, , ,Mouser,Farnell,960105-6202-AR,517-9601056202AR,2672610
P2 ,1,CONN_01X04,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_4pin_straight,Conector de Placa a Placa  2.54 mm  4 Contactos  Receptáculo  960 Series  Agujero Pasante  1 Filas,3M, , ,Mouser,Farnell,960104-6202-AR,517-9601046202AR,2672609
R1 R2 ,2,470,Resistors_SMD:R_0603_HandSoldering, ,YAGEO, , ,Mouser,Farnell,RT0603FRE07470RL,603-RT0603FRE07470RL,1500635
R3 R5 ,2,4K7,Resistors_SMD:R_0603_HandSoldering,TNPW06034K75BEEA  RES  THIN FILM  4K75  0.1%  0.063W  0603,VISHAY, , ,Mouser,Farnell,TNPW06034K75BEEA,71-TNPW06034K75BEEA,1893941
R4 ,1,6,19K,Resistors_SMD:R_0603_HandSoldering,1160352,WELWYN, , ,Mouser,Farnell,PCF0603R-6K19BT1,756-PCF0603R-6K19BT1,Farnell
R6 ,1,10K,Resistors_SMD:R_0603_HandSoldering,Resistencia SMD de Tipo Chip  Película Gruesa  10 kohm  75 V  0603 [Métrica 1608]  100 mW  ± 1%,Value, , ,Mouser,Farnell,Value,71-CRCW0603-10K-E3,1469748
R7 ,1,4,99K,Resistors_SMD:R_0603_HandSoldering,Resistencia SMD de Tipo Chip  Película Gruesa  4.99 kohm  75 V  0603 [Métrica 1608]  100 mW  ± 1%,PANASONIC, , ,Mouser,Farnell,ERJ-3EKF4991V,667-ERJ-3EKF4991V,2059377
R8 ,1,6,65K,Resistors_SMD:R_0603_HandSoldering,Resistencia SMD de Tipo Chip  Película Delgada  6.65 kohm  75 V  0603 [Métrica 1608]  100 mW,VISHAY, , ,Mouser,Farnell,TNPW06036K65BEEA,71-TNPW06036K65BEEA,1809818
R9 R10 R11 R12 ,4,R,Resistors_SMD:R_0603_HandSoldering, , , , , , , , , 
SP1 ,1,SPEAKER,Buzzers_Beepers:MagneticBuzzer_Kingstate_KCG0601, , , , , , , , , 
U1 ,1,MAX6369,smd-semi:SOT-23-8,Supervisory Circuits Pin-Selectable Watchdog Timer, ,Value, ,Mouser,Farnell,MAX6369KA+T,700-MAX6369KAT,2519138
U2 ,1,TC1262-30VDB,SOT-223,MICROCHIP  TC1262-3.0VDB  Regulador de Tensión Fija LDO  2.7V a 6V  350mV de Caída  3Vout  500mAout  SOT-223-3,MICROCHIP, , ,Mouser,Farnell,TC1262-3.VBD,579-TC1262-3.0VDB,1852181
U3 ,1,DS18B20,Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm,MAXIM INTEGRATED PRODUCTS  DS18B20U+  IC de Detección de Temperatura  Digital  ± 0.5°C  -55 °C  +125 °C  MSOP  8 Pines, , ,Value,Mouser,Farnell,DS18B20U+,700-DS18B20U,2518694
U4 ,1,PIC18F45K22,Housings_QFP:LQFP-44_10x10mm_Pitch0.8mm,8-bit Microcontrollers - MCU 32KB Flash 1536B RAM 8B nanoWatt,MICROCHIP, , ,Mouser,Farnell,PIC18F45K22-I/PT,579-PIC18F45K22-I/PT,1840995
U5 ,1,LT6005,Housings_SSOP:SSOP-16_3.9x4.9mm_Pitch0.635mm,Amplificador Operacional  Cuádruple  4 Amplificadores  2 kHz  0.0008 V/µs  1.6V a 16V  TSSOP,LINEAR TECHNOLOGY, , ,Mouser,Farnell,LT6005IGN#PBF,-,1432099
Y1 ,1,Crystal,Crystals:Crystal_HC49-4H_Vertical,Cristal  20 MHz  Agujero Pasante  11.5mm x 5mm  100 ppm  18 pF  20 ppm  Serie AB,ABRACON, , ,Mouser,Farnell,AB-2.000MHZ-B2,815-AB-2-B2,1611769




BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git)
Generated 29/04/2017 2:48:32
